scheme,instance,method,alpha,status,objective,f_true,feasible,covered_at_xstar,slack,x0,x1,x2,x3,x4
unit,58,nominal,0.1,optimal,908.1629257480498,45.86636386646076,0,0,-0.6284582092811632,874.7516656512848,1166.3355542017132,997.18,1.0654520818344917,10.65452081834492
unit,59,cmicl,0.1,optimal,1633.8895503632193,50.50005827331609,1,1,0.5000582733163768,923.0467632922113,1230.7290177229484,997.18,1.1849843612501387,11.849843612501388
unit,59,nominal,0.1,optimal,1596.6071902448164,45.86636386646076,0,0,-0.6284582092811632,874.7516656512848,1166.3355542017132,997.18,1.0654520818344917,10.65452081834492
unit,60,cmicl,0.1,optimal,1585.1174324142507,50.368411379354924,1,1,0.36841137935521573,938.8275603894666,1192.2585113635316,997.18,1.1875859821205237,11.875859821205239
unit,60,nominal,0.1,optimal,1494.5676520577063,45.20043216819367,0,0,-0.8437290439166887,1010.7107405452084,928.093896793476,997.18,1.0435331527914724,10.435331527914727
unit,61,cmicl,0.1,optimal,2226.202180050133,50.368411379354924,1,1,0.36841137935521573,938.8275603894666,1192.2585113635316,997.18,1.1875859821205237,11.875859821205239
unit,61,nominal,0.1,optimal,2144.348039209863,45.20043216819367,0,0,-0.8437290439166887,1010.7107405452084,928.093896793476,997.18,1.0435331527914724,10.435331527914727
unit,62,cmicl,0.1,optimal,1333.5709777872169,51.78635915580985,1,1,1.786359155810132,1096.898,988.7745238213182,997.18,1.2293868639200165,12.29386863920017
unit,62,nominal,0.1,optimal,1272.5278996095426,45.84933948344606,0,1,0.30675073437299005,1096.898,835.9138447418359,997.18,1.0441272099272523,10.441272099272524
unit,63,cmicl,0.1,optimal,1147.807588035956,51.78635915580985,1,1,1.786359155810132,1096.898,988.7745238213182,997.18,1.2293868639200165,12.29386863920017
unit,63,nominal,0.1,optimal,1035.1778431342186,45.84933948344606,0,1,0.30675073437299005,1096.898,835.9138447418359,997.18,1.0441272099272523,10.441272099272524
unit,64,cmicl,0.1,optimal,2003.1167618264797,51.78635915580985,1,1,1.786359155810132,1096.898,988.7745238213182,997.18,1.2293868639200165,12.29386863920017
unit,64,nominal,0.1,optimal,1923.7620533454613,45.20043216819367,0,0,-0.8437290439166887,1010.7107405452084,928.093896793476,997.18,1.0435331527914724,10.435331527914727
unit,65,cmicl,0.1,optimal,1194.2969770460343,50.368411379354924,1,1,0.36841137935521573,938.8275603894666,1192.2585113635316,997.18,1.1875859821205237,11.875859821205239
unit,65,nominal,0.1,optimal,1168.2868514293873,45.86636386646075,0,0,-0.6284582092812059,874.7516656512853,1166.3355542017136,997.18,1.0654520818344917,10.654520818344928
unit,66,cmicl,0.1,optimal,1629.0346275650438,50.50005827331604,1,1,0.5000582733163341,923.0467632922112,1230.7290177229481,997.18,1.1849843612501387,11.849843612501388
unit,66,nominal,0.1,optimal,1570.4279593655558,45.86636386646076,0,0,-0.6284582092811632,874.7516656512848,1166.3355542017132,997.18,1.0654520818344917,10.65452081834492
unit,67,cmicl,0.1,optimal,2311.803681555352,51.78635915580985,1,1,1.786359155810132,1096.898,988.7745238213182,997.18,1.2293868639200165,12.29386863920017
unit,67,nominal,0.1,optimal,2186.694267474063,45.20043216819367,0,0,-0.8437290439166887,1010.7107405452084,928.093896793476,997.18,1.0435331527914724,10.435331527914727
unit,68,cmicl,0.1,optimal,1441.3528385077973,51.78635915580985,1,1,1.786359155810132,1096.898,988.7745238213182,997.18,1.2293868639200165,12.29386863920017
unit,68,nominal,0.1,optimal,1331.1118978945394,45.84933948344611,0,1,0.30675073437301137,1096.898,835.9138447418363,997.18,1.0441272099272536,10.441272099272538
unit,69,cmicl,0.1,optimal,909.9380655216971,51.78635915580985,1,1,1.786359155810132,1096.898,988.7745238213182,997.18,1.2293868639200165,12.29386863920017
unit,69,nominal,0.1,optimal,870.3614360586462,45.849339483446066,0,1,0.30675073437299005,1096.898,835.9138447418358,997.18,1.0441272099272532,10.441272099272531
unit,70,cmicl,0.1,optimal,1630.4806246858961,50.50005827331609,1,1,0.5000582733163768,923.0467632922113,1230.7290177229484,997.18,1.1849843612501387,11.849843612501388
unit,70,nominal,0.1,optimal,1575.8335034959828,45.86636386646076,0,0,-0.6284582092811632,874.7516656512848,1166.3355542017132,997.18,1.0654520818344917,10.65452081834492
unit,71,cmicl,0.1,optimal,1952.6915134310038,51.78635915580985,1,1,1.786359155810132,1096.898,988.7745238213182,997.18,1.2293868639200165,12.29386863920017
unit,71,nominal,0.1,optimal,1842.7498477662034,45.84933948344606,0,1,0.30675073437299005,1096.898,835.9138447418359,997.18,1.0441272099272523,10.441272099272524
unit,72,cmicl,0.1,optimal,1945.383083464813,50.368411379354924,1,1,0.36841137935521573,938.8275603894666,1192.2585113635316,997.18,1.1875859821205237,11.875859821205239
unit,72,nominal,0.1,optimal,1849.7828162533515,45.200432168193686,0,0,-0.8437290439167029,1010.7107405452085,928.0938967934761,997.18,1.0435331527914735,10.435331527914734
