outcome,constraint_mode,given_mean,given_sd,prescribed_mean,prescribed_sd,pct_change,n_test,n_prescribed_eval,mean_solve_time,solve_time_sd,method,n_method_feasible,realization,subsample_seed,rhs,frac,strength
Overall_Survival,all_constraints,11.259900044824743,1.5569343279041772,10.621978874148725,0.7452405458649989,-5.665424809603155,96,26,0.07039580245812734,0.02416726179605016,robust_reg,33,1,2042,0.4,0.5,calibrated
all_constraints,all_constraints,0.11538461538461539,0.32581259360842113,0.5384615384615384,0.508391127441794,366.6666666666666,96,26,0.07039580245812734,0.02416726179605016,robust_reg,33,1,2042,0.4,0.5,calibrated
Any_DLT,dlt_only,0.4025974025974026,0.49363688603701666,0.7402597402597403,0.44136741475237473,83.87096774193549,96,77,0.030026815831661224,0.008705472077966724,cp,80,1,2042,0.4,0.5,calibrated
Blood,dlt_only,0.3116883116883117,0.4662205334202242,0.6753246753246753,0.47132395947782413,116.66666666666669,96,77,0.030026815831661224,0.008705472077966724,cp,80,1,2042,0.4,0.5,calibrated
Constitutional,dlt_only,0.37662337662337664,0.4877165116767452,0.6493506493506493,0.48030236546295463,72.41379310344827,96,77,0.030026815831661224,0.008705472077966724,cp,80,1,2042,0.4,0.5,calibrated
Infection,dlt_only,0.16883116883116883,0.37705916758225944,0.4805194805194805,0.502896599458671,184.6153846153846,96,77,0.030026815831661224,0.008705472077966724,cp,80,1,2042,0.4,0.5,calibrated
Gastrointestinal,dlt_only,0.2857142857142857,0.45471630418672365,0.4155844155844156,0.4960541500218804,45.454545454545475,96,77,0.030026815831661224,0.008705472077966724,cp,80,1,2042,0.4,0.5,calibrated
Overall_Survival,dlt_only,10.397979068495731,1.5759300752085994,11.120641655887516,0.8516476834525497,6.950029256948022,96,77,0.030026815831661224,0.008705472077966724,cp,80,1,2042,0.4,0.5,calibrated
all_constraints,dlt_only,0.1038961038961039,0.30712656333452054,0.2077922077922078,0.4083877909943187,99.99999999999999,96,77,0.030026815831661224,0.008705472077966724,cp,80,1,2042,0.4,0.5,calibrated
Any_DLT,all_constraints,0.6153846153846154,0.4961389383568338,0.9615384615384616,0.196116135138184,56.24999999999999,96,26,0.07466211169958115,0.030348774256717188,cp,34,1,2042,0.4,0.5,calibrated
Blood,all_constraints,0.4230769230769231,0.5038314736557788,0.7307692307692307,0.4523443208612048,72.72727272727272,96,26,0.07466211169958115,0.030348774256717188,cp,34,1,2042,0.4,0.5,calibrated
Constitutional,all_constraints,0.5769230769230769,0.5038314736557788,0.9615384615384616,0.196116135138184,66.66666666666669,96,26,0.07466211169958115,0.030348774256717188,cp,34,1,2042,0.4,0.5,calibrated
Infection,all_constraints,0.3076923076923077,0.4706787243316417,0.7307692307692307,0.4523443208612048,137.49999999999997,96,26,0.07466211169958115,0.030348774256717188,cp,34,1,2042,0.4,0.5,calibrated
Gastrointestinal,all_constraints,0.4230769230769231,0.5038314736557788,0.9615384615384616,0.196116135138184,127.2727272727273,96,26,0.07466211169958115,0.030348774256717188,cp,34,1,2042,0.4,0.5,calibrated
Overall_Survival,all_constraints,11.259900044824743,1.5569343279041772,10.5325691168141,0.7504495384749839,-6.459479436897289,96,26,0.07466211169958115,0.030348774256717188,cp,34,1,2042,0.4,0.5,calibrated
