outcome,constraint_mode,given_mean,given_sd,prescribed_mean,prescribed_sd,pct_change,n_test,n_prescribed_eval,mean_solve_time,solve_time_sd,method,n_method_feasible,realization,subsample_seed,rhs
Constitutional,dlt_only,0.8817204301075269,0.32468922819237606,0.956989247311828,0.20398095044388959,8.536585365853663,96,93,0.1058326984445254,0.1319406585683563,cp,93,7,8042,0.6
Infection,dlt_only,0.8817204301075269,0.324689228192376,1.0,0.0,13.414634146341463,96,93,0.1058326984445254,0.1319406585683563,cp,93,7,8042,0.6
Gastrointestinal,dlt_only,0.8817204301075269,0.32468922819237606,1.0,0.0,13.414634146341463,96,93,0.1058326984445254,0.1319406585683563,cp,93,7,8042,0.6
Overall_Survival,dlt_only,10.690157789226408,1.8054177732535939,11.679009388658349,1.3008560658048511,9.250112289535242,96,93,0.1058326984445254,0.1319406585683563,cp,93,7,8042,0.6
all_constraints,dlt_only,0.7204301075268817,0.4512203596877334,0.956989247311828,0.20398095044388959,32.83582089552239,96,93,0.1058326984445254,0.1319406585683563,cp,93,7,8042,0.6
Any_DLT,all_constraints,0.8617021276595744,0.3470633740209737,1.0,0.0,16.049382716049386,96,94,0.11928289383649826,0.04738129042211488,cp,94,7,8042,0.6
Blood,all_constraints,0.8723404255319149,0.3354997092507591,1.0,0.0,14.63414634146341,96,94,0.11928289383649826,0.04738129042211488,cp,94,7,8042,0.6
Constitutional,all_constraints,0.8723404255319149,0.3354997092507591,0.9787234042553191,0.14507865158346242,12.195121951219503,96,94,0.11928289383649826,0.04738129042211488,cp,94,7,8042,0.6
Infection,all_constraints,0.8723404255319149,0.3354997092507591,0.9787234042553191,0.14507865158346242,12.195121951219503,96,94,0.11928289383649826,0.04738129042211488,cp,94,7,8042,0.6
Gastrointestinal,all_constraints,0.8723404255319149,0.3354997092507591,1.0,0.0,14.63414634146341,96,94,0.11928289383649826,0.04738129042211488,cp,94,7,8042,0.6
Overall_Survival,all_constraints,10.735500143503824,1.7627770616918168,11.79955917841377,1.0892141557116928,9.911592573111928,96,94,0.11928289383649826,0.04738129042211488,cp,94,7,8042,0.6
all_constraints,all_constraints,0.7021276595744681,0.45977524275495457,0.9574468085106383,0.2029298102618999,36.36363636363637,96,94,0.11928289383649826,0.04738129042211488,cp,94,7,8042,0.6
Any_DLT,dlt_only,0.8526315789473684,0.35635331059341196,0.9894736842105263,0.10259783520851543,16.04938271604938,96,95,0.03814606616894404,0.0401101442080463,cp,95,8,9042,0.6
Blood,dlt_only,0.8736842105263158,0.33396729560733096,1.0,0.0,14.457831325301198,96,95,0.03814606616894404,0.0401101442080463,cp,95,8,9042,0.6
Constitutional,dlt_only,0.8736842105263158,0.333967295607331,0.9473684210526315,0.22448148540588725,8.433734939759024,96,95,0.03814606616894404,0.0401101442080463,cp,95,8,9042,0.6
Infection,dlt_only,0.8631578947368421,0.34550383548659225,1.0,0.0,15.853658536585364,96,95,0.03814606616894404,0.0401101442080463,cp,95,8,9042,0.6
Gastrointestinal,dlt_only,0.8631578947368421,0.3455038354865923,0.9894736842105263,0.10259783520851543,14.634146341463408,96,95,0.03814606616894404,0.0401101442080463,cp,95,8,9042,0.6
Overall_Survival,dlt_only,10.693736232232505,1.7885985250798564,11.765079755785488,1.1968550153817863,10.01842106712708,96,95,0.03814606616894404,0.0401101442080463,cp,95,8,9042,0.6
all_constraints,dlt_only,0.7052631578947368,0.4583430892442982,0.9473684210526315,0.22448148540588725,34.32835820895522,96,95,0.03814606616894404,0.0401101442080463,cp,95,8,9042,0.6
Any_DLT,all_constraints,0.8764044943820225,0.3309842319473132,1.0,0.0,14.102564102564099,96,89,0.0485933522383372,0.022655669029058304,cp,89,8,9042,0.6
