method,knob,fold,context_idx,solved,feasible,objective
cp@rho=0.5,0.3,0,192,1.0,1.0,11.195283858312855
cp@rho=0.5,0.3,0,199,1.0,1.0,11.289208429895004
cp@rho=0.5,0.3,0,212,1.0,1.0,11.523641521034108
cp@rho=0.5,0.3,0,214,1.0,1.0,11.152293000652294
cp@rho=0.5,0.3,0,230,1.0,1.0,11.122208739596315
cp@rho=0.5,0.3,0,231,1.0,1.0,11.09194362761314
cp@rho=0.5,0.3,0,240,1.0,1.0,10.312493432465375
cp@rho=0.5,0.3,0,246,1.0,1.0,9.816993529023076
cp@rho=0.5,0.3,0,247,1.0,1.0,11.193915431619883
cp@rho=0.5,0.3,0,248,1.0,1.0,10.794829557072438
cp@rho=0.5,0.3,0,249,1.0,1.0,11.612876726651331
cp@rho=0.5,0.3,0,257,1.0,0.0,10.561442252487097
cp@rho=0.5,0.3,0,275,1.0,1.0,11.531196494272308
cp@rho=0.5,0.3,0,298,1.0,1.0,10.96965360411084
cp@rho=0.5,0.3,0,302,1.0,1.0,11.271798224564956
cp@rho=0.5,0.3,0,303,1.0,1.0,11.215724347069099
cp@rho=0.5,0.3,0,317,1.0,1.0,11.202079259879207
cp@rho=0.5,0.3,1,0,1.0,0.0,11.4939214241286
cp@rho=0.5,0.3,1,10,1.0,1.0,9.614015323792232
cp@rho=0.5,0.3,1,22,1.0,0.0,8.62590805601966
cp@rho=0.5,0.3,1,28,1.0,1.0,11.36157746335955
cp@rho=0.5,0.3,1,42,1.0,1.0,11.214213368288275
cp@rho=0.5,0.3,1,43,1.0,1.0,11.282873926134863
cp@rho=0.5,0.3,1,63,1.0,1.0,11.649489719303437
cp@rho=0.5,0.3,1,92,1.0,1.0,10.507402025724259
cp@rho=0.5,0.3,1,93,1.0,0.0,11.519223809546268
cp@rho=0.5,0.3,1,109,1.0,1.0,12.500624944501638
cp@rho=0.5,0.3,1,113,1.0,1.0,11.363821468775347
cp@rho=0.5,0.3,1,120,1.0,1.0,11.966966235132949
cp@rho=0.5,0.3,1,122,1.0,1.0,12.026461284565158
cp@rho=0.5,0.3,1,123,1.0,1.0,12.23805266210316
cp@rho=0.5,0.3,1,124,1.0,1.0,11.672870010029799
cp@rho=0.5,0.3,1,139,1.0,1.0,11.338911730673813
cp@rho=0.5,0.3,1,143,1.0,1.0,8.75388511802661
cp@rho=0.5,0.3,1,159,1.0,1.0,12.131588737122636
cp@rho=0.5,0.3,1,160,1.0,1.0,10.621665745742254
cp@rho=0.5,0.3,1,188,1.0,0.0,9.803636209024097
cp@rho=0.5,0.3,1,189,1.0,1.0,11.391750648158313
cp@rho=0.5,0.3,1,195,1.0,1.0,11.501788653925923
cp@rho=0.5,0.3,1,198,0.0,nan,nan
cp@rho=0.5,0.3,1,211,0.0,nan,nan
cp@rho=0.5,0.3,1,217,1.0,1.0,11.26396989422073
cp@rho=0.5,0.3,1,244,1.0,1.0,7.33367014495786
cp@rho=0.5,0.3,1,245,1.0,1.0,9.704424042065616
cp@rho=0.5,0.3,1,264,1.0,1.0,10.570155936406412
cp@rho=0.5,0.3,1,267,1.0,1.0,9.032972030504595
cp@rho=0.5,0.3,1,268,1.0,1.0,11.325947574886174
cp@rho=0.5,0.3,1,273,1.0,1.0,11.239069243543796
cp@rho=0.5,0.3,1,293,0.0,nan,nan
cp@rho=0.5,0.3,1,314,1.0,1.0,10.479620407974053
cp@rho=0.5,0.3,2,30,1.0,1.0,9.944038813434311
cp@rho=0.5,0.3,2,53,1.0,1.0,11.594167191588332
cp@rho=0.5,0.3,2,62,1.0,1.0,11.495432190976182
cp@rho=0.5,0.3,2,64,1.0,1.0,12.2257809713275
cp@rho=0.5,0.3,2,65,1.0,1.0,12.361492178319528
cp@rho=0.5,0.3,2,66,1.0,1.0,9.311488631859332
cp@rho=0.5,0.3,2,74,1.0,1.0,12.30698436801481
cp@rho=0.5,0.3,2,99,1.0,0.0,13.269946224239433
cp@rho=0.5,0.3,2,102,1.0,1.0,11.835557597111281
cp@rho=0.5,0.3,2,103,1.0,1.0,11.7601226311493
cp@rho=0.5,0.3,2,104,1.0,1.0,11.796374963076614
cp@rho=0.5,0.3,2,106,1.0,1.0,11.748879581207374
cp@rho=0.5,0.3,2,114,1.0,1.0,11.75167967960626
cp@rho=0.5,0.3,2,116,1.0,1.0,12.028856048507743
cp@rho=0.5,0.3,2,126,1.0,1.0,12.258727436639964
